	X222	X223	X224	X225	X226	X228	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X250
bOTU_468	1369.650128	353.2124351	944.0586909	324.8536988	556.0818031	726.2481841	255.3057115	1855.561785	196.0582647	334.4237428	1186.051114	999.2121949	98.3590902	196.3054403	0	95.17041882	925.6765634	0	194.072903	95.65599344	0	0	637.9420369	86.70428897	150.3687266	152.2501159	304.4845052
bOTU_465	195.664304	1324.546632	2145.587934	2355.189316	417.0613523	121.041364	255.3057115	371.1123569	1372.407853	334.4237428	296.5127785	713.7229963	295.0772706	1374.138082	411.6110161	1522.726701	1943.920783	0	291.1093545	286.9679803	195.4355816	520.7329061	106.3236728	0	0	609.0004634	0
bOTU_461	489.1607599	353.2124351	0	81.2134247	2085.306762	11014.76413	2042.445692	1113.337071	1568.466117	501.6356142	1334.307503	713.7229963	786.8727216	687.069041	411.6110161	761.3633506	647.9735944	291.4600931	485.1822575	478.2799672	195.4355816	867.8881769	212.6473456	0	375.9218164	2131.501622	152.2422526
bOTU_142	0	441.5155439	171.6470347	568.4939729	1807.26586	484.1654561	1531.834269	1237.04119	1470.436985	2340.9662	1779.076671	1855.67979	590.1545412	687.069041	548.8146881	1237.215445	1851.353127	485.7668219	679.2551605	860.903941	195.4355816	1388.621083	425.2946913	0	150.3687266	456.7503476	0
bOTU_32	1565.314432	1501.152849	85.82351736	406.0671235	9175.349751	3994.365012	6893.25421	10267.44188	9998.971498	8026.169827	8895.383354	4425.082577	2065.540894	1472.290802	548.8146881	571.0225129	1295.947189	582.9201862	1164.437418	382.6239738	586.3067447	2690.453348	318.9710185	0	0	1674.751274	76.1211263
bOTU_71	0	6622.733158	85.82351736	162.4268494	1529.224958	1452.496368	127.6528557	2226.674142	2744.815705	2508.178071	4299.435288	2283.913588	4426.159059	1864.901683	4390.517505	3045.453402	4165.544535	4566.208126	2231.838384	1721.807882	488.5889539	4599.807338	531.6183641	0	0	609.0004634	76.1211263
bOTU_133	0	618.1217614	0	0	1390.204508	242.082728	510.611423	371.1123569	490.1456617	0	444.7691677	1998.42439	393.4363608	392.6108806	274.4073441	475.8520941	1943.920783	194.3067287	291.1093545	191.3119869	0	0	212.6473456	86.70428897	0	1065.750811	0
bOTU_690	97.83215198	1501.152849	0	649.7073976	1251.184057	1331.455004	1148.875702	742.2247139	3136.932235	2173.754328	3261.640563	570.9783971	983.590902	392.6108806	0	761.3633506	1573.650158	485.7668219	97.03645149	95.65599344	293.1533723	260.3664531	0	0	0	1065.750811	0
bOTU_187	1271.817976	264.9093263	429.1175868	243.6402741	1112.163606	242.082728	1148.875702	989.6329518	784.2330586	501.6356142	444.7691677	570.9783971	2360.618165	588.9163208	2058.055081	1237.215445	740.5412507	1360.147101	2134.801933	669.5919541	3029.251514	2864.030984	1807.502438	0	1428.502902	1674.751274	1522.422526
bOTU_205	1076.153672	88.30310877	343.2940694	406.0671235	556.0818031	121.041364	1914.792836	3216.307093	686.2039263	334.4237428	444.7691677	1570.190592	491.795451	687.069041	411.6110161	95.17041882	555.405938	0	194.072903	0	1563.484652	1215.043448	0	86.70428897	0	152.2501159	0
bOTU_231	195.664304	176.6062175	0	81.2134247	1668.245409	2178.744552	1021.222846	742.2247139	1372.407853	1003.271228	1927.33306	4139.593379	1180.309082	0	4253.313833	475.8520941	462.8382817	0	0	0	97.71779078	173.5776354	425.2946913	0	0	304.5002317	0
bOTU_20	0	794.7279789	0	0	556.0818031	242.082728	127.6528557	371.1123569	1568.466117	1337.694971	741.2819461	0	4819.59542	1275.985362	9192.646026	3045.453402	3147.300315	2428.834109	1746.656127	2391.399836	2247.509188	2603.664531	0	0	0	761.2505793	0
bOTU_41	0	88.30310877	171.6470347	81.2134247	695.1022539	484.1654561	0	247.408238	490.1456617	1003.271228	296.5127785	3568.614982	295.0772706	392.6108806	411.6110161	190.3408376	462.8382817	0	97.03645149	0	97.71779078	0	531.6183641	0	375.9218164	913.5006951	0
bOTU_96	1467.48228	23841.83937	14418.35092	25907.08248	9314.370202	5931.026837	2936.015682	5071.868878	16959.03989	14714.64468	10674.46002	6708.996166	196.7181804	294.4581604	686.0183602	190.3408376	1388.514845	97.15336437	0	95.65599344	0	0	106.3236728	86.70428897	0	0	0
bOTU_166	586.9929119	441.5155439	1115.705726	893.3476717	1251.184057	121.041364	1021.222846	1608.153547	1764.524382	1337.694971	1630.820282	428.2337978	1967.181804	1570.443522	1097.629376	1237.215445	1110.811876	1360.147101	873.3280634	382.6239738	1563.484652	954.6769946	744.2657097	86.70428897	827.0279961	456.7503476	761.211263
bOTU_55	97.83215198	7505.764246	171.6470347	324.8536988	278.0409015	0	382.9585672	494.8164759	98.02913233	0	0	0	0	98.15272014	1920.851408	0	0	388.6134575	194.072903	191.3119869	0	173.5776354	1275.884074	173.4085779	1353.318539	456.7503476	228.3633789
bOTU_151	1858.810888	529.8186526	257.4705521	974.5610964	973.1431554	484.1654561	2170.098548	1237.04119	1764.524382	2006.542457	1186.051114	1427.445993	983.590902	294.4581604	1234.833048	761.3633506	833.108907	582.9201862	1455.546772	95.65599344	2833.815933	781.0993592	318.9710185	0	451.1061797	913.5006951	380.6056315
bOTU_64	0	2295.880828	0	81.2134247	0	121.041364	0	0	196.0582647	0	0	2854.891985	5704.827232	5005.788727	137.203672	5329.543454	4998.653442	13892.93111	3687.385157	11191.75123	2052.073606	9026.03704	2445.444475	1734.085779	2405.899625	6394.504866	228.3633789
